BATTER,Dismissal,R,B,M,4s,6s,SR,URL,Match
Manpreet Singh †,c Aizaz Khan b Shah,12,15,-,0,0,80,/cricketers/manpreet-singh-1156688,hong-kong vs singapore
Avi Dixit , b Ehsan Khan,19,15,-,3,0,126.66,/cricketers/avi-dixit-1048897,hong-kong vs singapore
Surendran Chandramohan ,c Babar Hayat b Ehsan Khan,12,10,-,0,1,120,/cricketers/surendran-chandramohan-1098903,hong-kong vs singapore
Meet Bhavsar ,c Junaid Aziz b Sikander Billah,71,48,-,6,4,147.91,/cricketers/meet-bhavsar-1167770,bahrain vs kuwait
Ravija Sandaruwan ,c †Shahbaz Badar b Veerapathiran,13,12,-,2,0,108.33,/cricketers/ravija-sandaruwan-429809,bahrain vs kuwait
Adnan Idrees ,c †Shahbaz Badar b Veerapathiran,0,2,-,0,0,0,/cricketers/adnan-idrees-307817,bahrain vs kuwait
Usman Patel †,st †Shahbaz Badar b Junaid Aziz,15,14,-,3,0,107.14,/cricketers/usman-patel-1217288,bahrain vs kuwait
Shiraz Khan ,not out ,48,28,-,1,5,171.42,/cricketers/shiraz-khan-1192940,bahrain vs kuwait
Edson Silva ,c Haider Butt b Imran Khan,3,3,-,0,0,100,/cricketers/edson-silva-1284531,bahrain vs kuwait
Bilal Tahir ,c Umer Toor b Shahid Mahmood,25,10,-,1,3,250,/cricketers/bilal-tahir-796255,bahrain vs kuwait
Umer Toor ,lbw b Shahrukh Quddus,11,7,-,1,1,157.14,/cricketers/umer-toor-1301600,bahrain vs kuwait
Muhammad Younis ,c Sayed Monib b Patel,11,19,-,1,0,57.89,/cricketers/muhammad-younis-1217471,bahrain vs kuwait
Shahbaz Badar †,lbw b Shahrukh Quddus,0,1,-,0,0,0,/cricketers/shahbaz-badar-1143532,bahrain vs kuwait
Haider Butt (c),lbw b Shahrukh Quddus,0,1,-,0,0,0,/cricketers/haider-butt-1284532,bahrain vs kuwait
David Mathias , b Patel,2,7,-,0,0,28.57,/cricketers/david-mathias-420643,bahrain vs kuwait
Sikander Billah , b Patel,0,1,-,0,0,0,/cricketers/sikander-billah-1143533,bahrain vs kuwait
Junaid Aziz ,c †Usman Patel b Adnan Idrees,22,35,-,1,2,62.85,/cricketers/junaid-aziz-1093632,bahrain vs kuwait
Sathaiya Veerapathiran ,run out (Shiraz Khan/†Usman Patel),0,1,-,0,0,0,/cricketers/sathaiya-veerapathiran-1217274,bahrain vs kuwait
Sachin Kumar ,not out ,19,24,-,2,0,79.16,/cricketers/sachin-kumar-1328733,bahrain vs kuwait
Hazratullah Zazai ,c Simi Singh b Adair,10,6,-,2,0,166.66,/cricketers/hazratullah-zazai-793457,ireland vs afghanistan
Rahmanullah Gurbaz †,c †Tucker b Adair,4,5,-,0,0,80,/cricketers/rahmanullah-gurbaz-974087,ireland vs afghanistan
Ibrahim Zadran ,c McCarthy b Adair,8,8,-,1,0,100,/cricketers/ibrahim-zadran-921509,ireland vs afghanistan
Usman Ghani ,not out ,44,40,-,3,2,110,/cricketers/usman-ghani-711559,ireland vs afghanistan
Najibullah Zadran ,c †Tucker b Little,10,16,-,0,0,62.5,/cricketers/najibullah-zadran-524049,ireland vs afghanistan
Paul Stirling ,c Naveen-ul-Haq b Mujeeb Ur Rahman,16,10,-,1,1,160,/cricketers/paul-stirling-303427,ireland vs afghanistan
Andy Balbirnie (c),lbw b Mujeeb Ur Rahman,9,9,-,0,1,100,/cricketers/andy-balbirnie-303423,ireland vs afghanistan
Lorcan Tucker †,c Fareed Ahmad b Rashid Khan,14,12,-,0,1,116.66,/cricketers/lorcan-tucker-928057,ireland vs afghanistan
Umer Toor †,lbw b Patel,6,9,-,1,0,66.66,/cricketers/umer-toor-1301600,bahrain vs kuwait
Janaka Chaturanga , b Aslam,20,24,-,3,0,83.33,/cricketers/janaka-chaturanga-749517,bahrain vs kuwait
Muhammad Younis ,run out (Aslam),8,5,-,1,0,160,/cricketers/muhammad-younis-1217471,bahrain vs kuwait
Haider Butt (c),not out ,22,30,-,1,0,73.33,/cricketers/haider-butt-1284532,bahrain vs kuwait
Sikander Billah ,run out (Shiraz Khan),24,17,-,3,1,141.17,/cricketers/sikander-billah-1143533,bahrain vs kuwait
David Mathias , b Sayed Monib,30,22,-,4,1,136.36,/cricketers/david-mathias-420643,bahrain vs kuwait
Meet Bhavsar ,st †Umer Toor b Sachin Kumar,51,34,-,5,2,150,/cricketers/meet-bhavsar-1167770,bahrain vs kuwait
Ravija Sandaruwan ,c Veerapathiran b Shahid Mahmood,21,14,-,2,1,150,/cricketers/ravija-sandaruwan-429809,bahrain vs kuwait
Adnan Idrees ,c Chaturanga b Waseeq Ahmed,1,3,-,0,0,33.33,/cricketers/adnan-idrees-307817,bahrain vs kuwait
Usman Patel †,run out (Chaturanga/Veerapathiran),9,9,-,0,0,100,/cricketers/usman-patel-1217288,bahrain vs kuwait
Muhammad Kashif , b Veerapathiran,19,19,-,2,0,100,/cricketers/muhammad-kashif-1093661,bahrain vs kuwait
Shiraz Khan ,c Haider Butt b Veerapathiran,18,16,-,1,1,112.5,/cricketers/shiraz-khan-1192940,bahrain vs kuwait
Hazratullah Zazai ,c McCarthy b Delany,6,4,21,1,0,150,/cricketers/hazratullah-zazai-793457,ireland vs afghanistan
Rahmanullah Gurbaz †,c Adair b McCarthy,24,13,15,3,2,184.61,/cricketers/rahmanullah-gurbaz-974087,ireland vs afghanistan
Ibrahim Zadran ,c Dockrell b Delany,1,3,5,0,0,33.33,/cricketers/ibrahim-zadran-921509,ireland vs afghanistan
Najibullah Zadran ,c Little b Adair,50,24,39,4,3,208.33,/cricketers/najibullah-zadran-524049,ireland vs afghanistan
Mohammad Nabi (c),c Balbirnie b Hand,5,5,9,1,0,100,/cricketers/mohammad-nabi-25913,ireland vs afghanistan
Azmatullah Omarzai ,c Dockrell b Delany,4,7,11,0,0,57.14,/cricketers/azmatullah-omarzai-819429,ireland vs afghanistan
