BOWLER,O,M,R,W,Econ,WD,NB,URL,Match
Murali Kartik,4,0,27,0,6.75,0,0,/cricketers/murali-kartik-30049,india vs australia
Brett Lee,3.1,0,35,1,11.05,1,1,/cricketers/brett-lee-6278,india vs australia
Nathan Bracken,2,0,19,0,9.5,1,0,/cricketers/nathan-bracken-4185,india vs australia
Ben Hilfenhaus,4,0,28,1,7,0,2,/cricketers/ben-hilfenhaus-5941,india vs australia
Stuart Clark,4,0,33,0,8.25,2,0,/cricketers/stuart-clark-4582,india vs australia
Andrew Symonds,3,0,26,0,8.66,0,0,/cricketers/andrew-symonds-7702,india vs australia
Michael Clarke,2,0,14,1,7,1,0,/cricketers/michael-clarke-4578,india vs australia
Mohammad Asif,3,0,25,1,8.33,1,0,/cricketers/mohammad-asif-41411,india vs pakistan
Sohail Tanvir,4,0,29,1,7.25,2,0,/cricketers/sohail-tanvir-43265,india vs pakistan
Shahid Afridi,4,0,30,0,7.5,0,0,/cricketers/shahid-afridi-42639,india vs pakistan
Mohammad Hafeez,3,0,25,0,8.33,0,0,/cricketers/mohammad-hafeez-41434,india vs pakistan
Umar Gul,4,0,28,3,7,1,1,/cricketers/umar-gul-43524,india vs pakistan
Yasir Arafat,2,0,19,0,9.5,0,0,/cricketers/yasir-arafat-43654,india vs pakistan
RP Singh,4,0,26,3,6.5,0,1,/cricketers/rp-singh-35280,india vs pakistan
Sreesanth,4,1,44,1,11,2,0,/cricketers/sreesanth-34274,india vs pakistan
Joginder Sharma,3.3,0,20,2,5.71,2,0,/cricketers/joginder-sharma-29976,india vs pakistan
Yusuf Pathan,1,0,5,0,5,0,0,/cricketers/yusuf-pathan-32498,india vs pakistan
Irfan Pathan,4,0,16,3,4,1,0,/cricketers/irfan-pathan-32685,india vs pakistan
Harbhajan Singh,3,0,36,0,12,1,0,/cricketers/harbhajan-singh-29264,india vs pakistan
Brett Lee,4,0,25,0,6.25,0,0,/cricketers/brett-lee-6278,australia vs india
Nathan Bracken,4,0,38,0,9.5,0,0,/cricketers/nathan-bracken-4185,australia vs india
Stuart Clark,4,0,38,0,9.5,1,0,/cricketers/stuart-clark-4582,australia vs india
Mitchell Johnson,4,0,31,2,7.75,0,0,/cricketers/mitchell-johnson-6033,australia vs india
Andrew Symonds,3,0,37,0,12.33,0,0,/cricketers/andrew-symonds-7702,australia vs india
Michael Clarke,1,0,13,1,13,0,0,/cricketers/michael-clarke-4578,australia vs india
RP Singh,4,0,33,0,8.25,1,1,/cricketers/rp-singh-35280,australia vs india
Sreesanth,4,1,12,2,3,0,0,/cricketers/sreesanth-34274,australia vs india
Irfan Pathan,4,0,44,2,11,1,0,/cricketers/irfan-pathan-32685,australia vs india
Joginder Sharma,3,0,37,2,12.33,1,0,/cricketers/joginder-sharma-29976,australia vs india
Harbhajan Singh,4,0,24,1,6,0,0,/cricketers/harbhajan-singh-29264,australia vs india
Virender Sehwag,1,0,20,0,20,0,1,/cricketers/virender-sehwag-35263,australia vs india
Mohammad Asif,4,0,34,0,8.5,0,0,/cricketers/mohammad-asif-41411,new-zealand vs pakistan
Sohail Tanvir,4,0,30,0,7.5,1,2,/cricketers/sohail-tanvir-43265,new-zealand vs pakistan
Shahid Afridi,4,0,24,1,6,2,0,/cricketers/shahid-afridi-42639,new-zealand vs pakistan
Fawad Alam,3,0,29,2,9.66,0,0,/cricketers/fawad-alam-40250,new-zealand vs pakistan
Umar Gul,4,0,15,3,3.75,0,0,/cricketers/umar-gul-43524,new-zealand vs pakistan
